date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:06:41	66097/66097	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2014%20Dec%202024%2015:06:40%20GMT	https://digital-marketing-template.brickstemplates.io/	C:/My%20Web%20Sites/DigiQuill/digital-marketing-template.brickstemplates.io/index.html	(from )
09:06:42	170/170	U-----	200	untouched ('OK')	text/plain	date:Sat,%2014%20Dec%202024%2014:00:16%20GMT	https://digital-marketing-template.brickstemplates.io/robots.txt		(from )
09:06:47	1838/1838	U-----	200	untouched ('')	application/rss+xml	etag:%22cf4fe9a69a78dccb1ad637680b50a6ca%22	https://digital-marketing-template.brickstemplates.io/comments/feed/	C:/My%20Web%20Sites/DigiQuill/digital-marketing-template.brickstemplates.io/comments/feed/index.html	(from https://digital-marketing-template.brickstemplates.io/)
09:06:47	124058/124058	U-----	200	untouched ('OK')	text/css	etag:%221e49a-67388686-7082a7;gz%22	https://digital-marketing-template.brickstemplates.io/wp-content/themes/bricks/assets/css/frontend.min.css?ver=1731757702	C:/My%20Web%20Sites/DigiQuill/digital-marketing-template.brickstemplates.io/wp-content/themes/bricks/assets/css/frontend.min904c.css	(from https://digital-marketing-template.brickstemplates.io/)
09:06:47	65184/65184	U-----	200	untouched ('OK')	text/css	etag:%22fea0-67388686-7082b8;gz%22	https://digital-marketing-template.brickstemplates.io/wp-content/themes/bricks/assets/css/integrations/woocommerce.min.css?ver=1731757702	C:/My%20Web%20Sites/DigiQuill/digital-marketing-template.brickstemplates.io/wp-content/themes/bricks/assets/css/integrations/woocommerce.min904c.css	(from https://digital-marketing-template.brickstemplates.io/)
09:06:48	1925/1925	U-----	200	untouched ('')	application/rss+xml	etag:%22cf4fe9a69a78dccb1ad637680b50a6ca%22	https://digital-marketing-template.brickstemplates.io/feed/	C:/My%20Web%20Sites/DigiQuill/digital-marketing-template.brickstemplates.io/feed/index.html	(from https://digital-marketing-template.brickstemplates.io/)
09:06:48	46873/46873	U-----	200	untouched ('')	image/jpeg	etag:%22b719-66262aa4-69798e;;;%22	http://digital-marketing-template.brickstemplates.io/wp-content/uploads/2024/04/marketing1.jpg	C:/My%20Web%20Sites/DigiQuill/digital-marketing-template.brickstemplates.io/wp-content/uploads/2024/04/marketing1.jpg	(from https://digital-marketing-template.brickstemplates.io/)
09:06:48	13845/13845	U-----	200	untouched ('OK')	text/css	etag:%223615-67388686-7082aa;gz%22	https://digital-marketing-template.brickstemplates.io/wp-content/themes/bricks/assets/css/libs/themify-icons.min.css?ver=1731757702	C:/My%20Web%20Sites/DigiQuill/digital-marketing-template.brickstemplates.io/wp-content/themes/bricks/assets/css/libs/themify-icons.min904c.css	(from https://digital-marketing-template.brickstemplates.io/)
09:06:48	9636/9636	U-----	200	untouched ('')	text/javascript	etag:%2225a4-6755a963-a7ddc1;gz%22	https://digital-marketing-template.brickstemplates.io/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.7.0-wc.9.4.3	C:/My%20Web%20Sites/DigiQuill/digital-marketing-template.brickstemplates.io/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min6fb9.js	(from https://digital-marketing-template.brickstemplates.io/)
09:06:49	1720/1720	U-----	200	untouched ('')	text/javascript	etag:%226b8-6755a963-a7ddd9;gz%22	https://digital-marketing-template.brickstemplates.io/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min.js?ver=2.1.4-wc.9.4.3	C:/My%20Web%20Sites/DigiQuill/digital-marketing-template.brickstemplates.io/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.mine74b.js	(from https://digital-marketing-template.brickstemplates.io/)
